@relation data_308

@attribute Sex {female,male}
@attribute DVRT numeric
@attribute Educational_level {3rd_level_complete,3rd_level_incomplete,Junior_cycle_incomplete-secondary_school,Junior_cycle_incomplete-vocational_school,Junior_cycle_terminal_leaver-secondary_school,Junior_cycle_terminal_leaver-vocational_school,Primary_terminal_leaver,Senior_cycle_incomplete-secondary_school,Senior_cycle_incomplete-vocational_school,Senior_cycle_terminal_leaver-secondary_school}
@attribute Leaving_Certificate {not_taken,taken}
@attribute Prestige_score numeric
@attribute binaryClass {P,N}

@data
female,73,Junior_cycle_terminal_leaver-secondary_school,not_taken,37,P
female,85,Senior_cycle_terminal_leaver-secondary_school,taken,28,P
female,107,3rd_level_complete,taken,61,P
female,112,3rd_level_complete,taken,62,P
male,127,3rd_level_complete,taken,40,P
male,114,Junior_cycle_terminal_leaver-secondary_school,not_taken,66,P
male,114,Senior_cycle_terminal_leaver-secondary_school,taken,71,P
male,109,Junior_cycle_incomplete-vocational_school,not_taken,18,N
male,93,Senior_cycle_terminal_leaver-secondary_school,taken,51,P
female,114,Senior_cycle_terminal_leaver-secondary_school,taken,40,P
female,100,Senior_cycle_terminal_leaver-secondary_school,taken,31,P
female,92,Junior_cycle_incomplete-secondary_school,not_taken,18,P
female,110,Senior_cycle_terminal_leaver-secondary_school,taken,61,P
female,93,Junior_cycle_terminal_leaver-vocational_school,not_taken,37,N
female,96,Junior_cycle_incomplete-vocational_school,not_taken,43,N
male,120,?,not_taken,75,P
male,114,3rd_level_complete,taken,75,P
male,127,3rd_level_complete,taken,40,P
male,106,Senior_cycle_terminal_leaver-secondary_school,taken,75,P
male,110,Senior_cycle_terminal_leaver-secondary_school,taken,53,P
male,92,Senior_cycle_incomplete-vocational_school,not_taken,38,N
male,125,3rd_level_complete,taken,71,P
male,108,Senior_cycle_terminal_leaver-secondary_school,taken,71,P
female,112,Senior_cycle_terminal_leaver-secondary_school,taken,18,P
female,93,Senior_cycle_terminal_leaver-secondary_school,taken,69,P
female,114,Senior_cycle_terminal_leaver-secondary_school,taken,75,P
female,104,Senior_cycle_terminal_leaver-secondary_school,taken,18,P
female,92,Senior_cycle_terminal_leaver-secondary_school,taken,75,P
female,104,Junior_cycle_terminal_leaver-secondary_school,not_taken,43,P
female,109,Senior_cycle_terminal_leaver-secondary_school,taken,71,P
female,109,3rd_level_complete,taken,40,P
female,104,Junior_cycle_terminal_leaver-secondary_school,not_taken,18,P
male,123,Senior_cycle_incomplete-vocational_school,not_taken,36,N
male,125,3rd_level_complete,taken,31,P
male,127,3rd_level_complete,taken,37,P
male,129,3rd_level_complete,taken,43,P
male,119,3rd_level_incomplete,taken,69,P
male,125,Junior_cycle_terminal_leaver-vocational_school,not_taken,71,N
male,121,Senior_cycle_terminal_leaver-secondary_school,taken,37,P
male,124,Senior_cycle_terminal_leaver-secondary_school,taken,36,P
male,125,Senior_cycle_terminal_leaver-secondary_school,taken,18,P
male,129,Junior_cycle_terminal_leaver-secondary_school,not_taken,18,P
male,122,Senior_cycle_terminal_leaver-secondary_school,taken,62,P
male,121,3rd_level_incomplete,taken,37,P
male,129,3rd_level_incomplete,taken,?,P
male,122,Senior_cycle_terminal_leaver-secondary_school,taken,40,P
male,126,Junior_cycle_terminal_leaver-vocational_school,not_taken,51,N
male,122,3rd_level_complete,taken,35,P
male,123,Senior_cycle_terminal_leaver-secondary_school,taken,65,P
male,119,3rd_level_complete,taken,71,P
female,120,3rd_level_complete,taken,40,P
female,127,Junior_cycle_incomplete-vocational_school,not_taken,35,N
female,127,Senior_cycle_terminal_leaver-secondary_school,taken,62,P
female,120,Senior_cycle_terminal_leaver-secondary_school,taken,61,P
female,127,Senior_cycle_terminal_leaver-secondary_school,taken,58,P
female,123,Senior_cycle_terminal_leaver-secondary_school,taken,37,P
female,120,3rd_level_complete,taken,37,P
female,123,Senior_cycle_terminal_leaver-secondary_school,taken,37,P
female,122,Junior_cycle_terminal_leaver-vocational_school,not_taken,18,N
female,119,3rd_level_complete,taken,37,P
male,130,Senior_cycle_incomplete-vocational_school,not_taken,?,N
male,134,3rd_level_incomplete,taken,62,P
male,136,3rd_level_complete,taken,61,P
male,135,3rd_level_complete,taken,61,P
male,140,3rd_level_complete,taken,71,P
male,131,Senior_cycle_terminal_leaver-secondary_school,taken,30,P
male,137,3rd_level_complete,taken,62,P
male,136,3rd_level_complete,taken,18,P
male,132,3rd_level_complete,taken,37,P
female,135,3rd_level_complete,taken,62,P
female,134,3rd_level_complete,taken,?,P
